Taxonomy / Feature	LDA score (log10)	Class	Mean (relative) abundance in that class	p-value
d__Bacteria.p__Chloroflexota.c__Ktedonobacteria.o__Ktedonobacterales.f__Ktedonobacteraceae.g__1921_2	4.133573316899342			-
d__Bacteria.p__Planctomycetota.c__Pla4_lineage.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	3.161728469797019			-
d__Archaea.p__Thermoproteota.c__Nitrososphaeria.o__Nitrosotaleales.f__Nitrosotaleaceae.g__Incertae_Sedis	4.715640645745254	Chemical	4.401726649927781	0.013902988164384317
d__Bacteria.p__Gemmatimonadota.c__Gemmatimonadia.o__Gemmatimonadales.f__Gemmatimonadaceae.g__Gemmatimonas	3.635040121539374			-
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Streptosporangiales.f__Thermomonosporaceae.g__Actinomadura	2.915836447809626			-
d__Bacteria.p__Chloroflexota.c__Chloroflexia.o__Chloroflexales.f__Roseiflexaceae.g__Incertae_Sedis	4.302403920256876	Organic	3.9546072794392213	0.014305878435429647
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Streptosporangiales.f__Thermomonosporaceae.__	3.471209895933477			-
d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Gemmatales.f__Gemmataceae.g__Incertae_Sedis	4.378579812377651			-
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Streptosporangiales.f__Thermomonosporaceae.g__Thermomonospora	2.4453457339684137			-
d__Bacteria.p__Chloroflexota.__.__.__.__	3.446577706893612			-
d__Bacteria.p__Actinomycetota.c__Acidimicrobiia.o__Acidimicrobiales.f__Acidimicrobiaceae.g__Incertae_Sedis	4.113381974227069			-
d__Bacteria.p__Chloroflexota.c__TK10.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	4.575094148791841	Organic	4.103302678210042	0.014305878435429647
d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiia.o__Chthoniobacterales.f__Chthoniobacteraceae.g__Candidatus_Udaeobacter	3.951727705785082	Organic	3.598182789647769	0.014305878435429647
d__Bacteria.p__Acidobacteriota.c__Subgroup_22.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	3.233256763847588			-
d__Bacteria.p__Armatimonadota.c__Incertae_Sedis.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	4.004653696152408	Organic	3.457340033878786	0.027486336
d__Bacteria.p__Actinomycetota.c__MB_A2_108.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	4.073269871510801	Organic	3.683169865245239	0.014305878435429647
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Terriglobales.__.__	3.6164735208236776			-
d__Bacteria.p__Chloroflexota.c__Ktedonobacteria.o__Ktedonobacterales.f__Ktedonobacteraceae.g__FCPS473	4.2746494577785255			-
d__Bacteria.p__Bacillota.c__Bacilli.o__Alicyclobacillales.f__Alicyclobacillaceae.g__Acidibacillus	2.430281911732012	Chemical	2.113462493607289	0.029049022161940587
d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Incertae_Sedis	3.6848442202990346			-
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Microscillaceae.g__Incertae_Sedis	3.025907829323836			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Rickettsiales.f__SM2D12.g__Incertae_Sedis	2.313776033683505			-
d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__LWQ8.g__Incertae_Sedis	3.5951594041916675			-
d__Bacteria.p__Chloroflexota.c__Ktedonobacteria.o__Ktedonobacterales.f__Ktedonobacteraceae.g__HSB_OF53_F07	3.419941096025119			-
d__Bacteria.p__Actinomycetota.c__Acidimicrobiia.o__Microtrichales.f__Incertae_Sedis.g__Incertae_Sedis	3.6337627513974584	Organic	3.2178816620989714	0.014305878435429647
d__Bacteria.p__Chloroflexota.c__Ktedonobacteria.o__Ktedonobacterales.f__Ktedonobacteraceae.g__Incertae_Sedis	4.097734876732918	Chemical	3.593769006	0.027486336
d__Bacteria.p__Bacillota.c__Bacilli.o__Thermoactinomycetales.f__Thermoactinomycetaceae.g__Staphylospora	1.403953986857517			-
d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.__.__	2.7248777326795723			-
d__Bacteria.p__Chloroflexota.c__Anaerolineae.o__Aggregatilineales.__.__	2.5889990322691094			-
d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Incertae_Sedis.g__Incertae_Sedis	3.158874373027009			-
d__Bacteria.p__Latescibacterota.c__Incertae_Sedis.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	3.8526593132973534	Organic	3.564801039012604	0.027486336
d__Bacteria.p__Chloroflexota.c__JG30_KF_CM66.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	3.945688202623471			-
d__Bacteria.p__Elusimicrobiota.c__Lineage_IIa.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	3.187499346614939			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Elsterales.f__Elsteraceae.g__Incertae_Sedis	2.517896280328793			-
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Gammaproteobacteria_Incertae_Sedis.f__Unknown_Family.g__Acidibacter	4.224933973908567	Chemical	3.810674310845339	0.014305878435429647
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Subgroup_2.f__Incertae_Sedis.g__Incertae_Sedis	4.662904390386118	Chemical	4.244913360730921	0.014305878435429647
d__Bacteria.p__Planctomycetota.c__Phycisphaerae.o__Phycisphaerales.f__Phycisphaeraceae.g__Incertae_Sedis	1.1998333180607552			-
d__Bacteria.p__Armatimonadota.c__Chthonomonadia.o__Chthonomonadales.f__Incertae_Sedis.g__Incertae_Sedis	3.176641425379153			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.__	2.743900966292989			-
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Terriglobales.f__Incertae_Sedis.g__Incertae_Sedis	4.206726722484856			-
d__Bacteria.p__Actinomycetota.c__Thermoleophilia.o__Gaiellales.f__Gaiellaceae.g__Gaiella	4.366795682	Organic	3.9620193915902138	0.014305878435429647
d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Gemmatales.f__Gemmataceae.g__Gemmata	3.3629943584527546			-
d__Bacteria.p__Bacillota.c__Negativicutes.o__Veillonellales_Selenomonadales.f__Sporomusaceae.g__Incertae_Sedis	2.9518815045253346	Chemical	2.5177880338136807	0.046251427
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Pseudonocardiales.f__Pseudonocardiaceae.__	3.504108052818723			-
d__Archaea.p__Thermoproteota.c__Nitrososphaeria.o__Nitrososphaerales.f__Nitrososphaeraceae.g__Candidatus_Nitrososphaera	3.381676614189112			-
d__Bacteria.p__Bacillota.c__Bacilli.o__Paenibacillales.f__Paenibacillaceae.g__Gorillibacterium	2.3612007018229404			-
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Gammaproteobacteria_Incertae_Sedis.f__Unknown_Family.g__Candidatus_Berkiella	1.5008639924391378			-
d__Archaea.p__Thermoproteota.c__Nitrososphaeria.o__Nitrososphaerales.f__Nitrososphaeraceae.g__Incertae_Sedis	4.139551893867006	Organic	3.6853062536182586	0.014305878435429647
d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiia.o__Pedosphaerales.f__Pedosphaeraceae.g__Incertae_Sedis	4.294478799529779			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Elsterales.f__Incertae_Sedis.g__Incertae_Sedis	4.904626770800944	Chemical	4.446449762	0.014305878435429647
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Hyphomicrobiales.f__KF_JG30_B3.g__Incertae_Sedis	3.2967430526519292			-
