,Organic_Mean_Abundance,Chemical_Mean_Abundance,Fold_Change(Org/Chem)
Gaiellales (o),5.99936628643853,3.8331749049429655,1.5651167592527788
Acidothermus,4.451837769328263,11.20088719898606,0.3974540310819132
TK10 (c),3.759188846641318,0.9450253485424588,3.97787090945376
Vicinamibacterales (o),3.2813688212927756,1.0979087452471483,2.9887445860223725
Gaiella,2.326996197718631,0.4079531051964512,5.704077655920722
Vicinamibacteraceae (f),2.2078580481622305,0.7873891001267428,2.804024141308048
Elsterales (o),2.0297845373891,8.031527249683144,0.25272709337024923
Roseiflexaceae (f),2.0063371356147024,0.28517110266159695,7.035555530884208
Nitrososphaeraceae (f),1.73574144486692,0.3010139416983524,5.766315770317374
Solirubrobacter,1.5760456273764258,0.20754119138149557,7.5938930931811806
Rokubacteriales (o),1.394169835234474,0.4071609632446135,3.42412450520892
Armatimonadota (p),1.0107731305449936,0.40003168567807357,2.526732666950995
Micromonosporaceae (f),0.9898605830164765,0.3390367553865653,2.9196261596127657
Terriglobales (o),0.9708491761723701,2.0231305449936627,0.47987470610579724
WD2101_soil_group (f),0.9486692015209126,0.29546894803548795,3.210723849723277
Candidatus_Udaeobacter,0.8948035487959443,0.16397338403041825,5.457004797638054
Pyrinomonadaceae (f),0.8719898605830165,0.22021546261089991,3.959712212234745
Rubrobacter,0.8498098859315588,0.056242078580481615,15.10985888627203
Solirubrobacterales (o),0.8269961977186313,0.13941698352344742,5.931818139270868
Sphingomonas,0.7490494296577948,0.2225918884664132,3.3651245400422307
Subgroup_2 (o),0.7427122940430925,4.601552598225602,0.1614047167836534
Latescibacterota (p),0.7122940430925222,0.09188846641318124,7.751724053570893
Subgroup_7 (o),0.6546261089987326,0.1600126742712294,4.09108908334361
Comamonadaceae (f),0.6140684410646388,0.17981622306717365,3.4149779545767918
Candidatus_Nitrosocosmicus,0.5741444866920152,0.05228136882129278,10.981817971765954
bacteriap25 (c),0.535487959442332,0.09901774397972117,5.4079999453835255
S085 (o),0.5183776932826363,0.1877376425855513,2.7611814198914963
Pirellula,0.5133079847908746,0.1449619771863118,3.5409835821303957
Microtrichales (o),0.4302915082382762,0.05386565272496831,7.988235145818411
Frankiales (o),0.40240811153358685,0.22417617237008872,1.7950529955262373
Anaeromyxobacter,0.3998732572877059,0.0776299112801014,5.151020341809713
Marmoricola,0.3992395437262357,0.07129277566539924,5.599999921450667
Microvirga,0.38339670468948034,0.10535487959442333,3.6390977098195716
Acidibacter,0.36311787072243346,1.6785487959442331,0.2163284566903761
Myxococcaceae (f),0.3561470215462611,0.11486058301647656,3.1006896281771685
Ktedonobacteraceae (f),0.3193916349809886,1.2523764258555132,0.25502846279446684
Acetobacteraceae (f),0.29784537389100124,1.150190114068441,0.2589531678189377
Actinomycetota (p),0.29277566539923955,0.011089987325728771,26.3999976194745
Geminicoccaceae (f),0.2769328263624842,0.05228136882129277,5.296969595653116
Aggregatilineaceae (f),0.26425855513307983,0.08951204055766793,2.952212356399355
Subgroup_10,0.26299112801013946,0.0800063371356147,3.287128671785434
Ellin6067,0.25602027883396705,0.07842205323193917,3.2646464230172763
Actinophytocola,0.2553865652724968,0.029309252217997468,8.71351321621786
Agromyces,0.19708491761723698,0.0007921419518377693,248.79968591527646
Candidatus_Alysiosphaera,0.19074778200253484,0.041191381495564006,4.630769118348405
Luedemannella,0.1844106463878327,0.010297845373891001,17.9076905687178
Steroidobacteraceae (f),0.17363751584283904,0.06495564005069708,2.6731706905535284
Eremiobacteria (c),0.10202788339670468,0.6313371356147022,0.16160602232871837
Occallatibacter,0.03992395437262357,0.6408428390367553,0.06229913463702543
Thermoplasmata (c),0.024081115335868188,0.27249683143219267,0.08837209269895077
FCPU426 (p),0.020912547528517112,0.32953105196451205,0.0634615382689571
Nitrosotaleaceae (f),0.019011406844106463,5.195659062103929,0.0036590943734381397
Sulfobacillaceae (f),0.006337135614702154,0.3406210392902408,0.0186046511081709
Acidicaldus,0.0038022813688212928,0.2550697084917617,0.014906832239694457
Chujaibacter,0.0,0.36042458808618505,0.0
Alicyclobacillus,0.0,1.6714195183776932,0.0
