Clean_Taxa,Class,LDA score,p-value
Nitrosotaleaceae (f),Chemical,4.715640645745254,0.0139029881643843
Roseiflexaceae (f),Organic,4.302403920256876,0.0143058784354296
TK10 (c),Organic,4.575094148791841,0.0143058784354296
Candidatus_Udaeobacter,Organic,3.951727705785082,0.0143058784354296
Armatimonadota (p),Organic,4.004653696152408,0.027486336
Microtrichales (o),Organic,3.6337627513974575,0.0143058784354296
Ktedonobacteraceae (f),Chemical,4.097734876732918,0.027486336
Latescibacterota (p),Organic,3.8526593132973534,0.027486336
Acidibacter,Chemical,4.224933973908567,0.0143058784354296
Subgroup_2 (o),Chemical,4.662904390386118,0.0143058784354296
Gaiella,Organic,4.366795682,0.0143058784354296
Nitrososphaeraceae (f),Organic,4.139551893867006,0.0143058784354296
Elsterales (o),Chemical,4.904626770800944,0.0143058784354296
Aggregatilineaceae (f),Organic,3.4220290353372254,0.027486336
Subgroup_7 (o),Organic,3.815993319708319,0.0143058784354296
Micromonosporaceae (f),Organic,3.307042984096984,0.0139029881643843
Geminicoccaceae (f),Organic,3.3447184468592464,0.0139029881643843
WD2101_soil_group (f),Organic,3.977114804431296,0.0143058784354296
Vicinamibacterales (o),Organic,4.516055050821692,0.0143058784354296
Pirellula,Organic,3.710378019660118,0.0143058784354296
Microvirga,Organic,3.5836483965351844,0.027486336
Solirubrobacter,Organic,4.197568789,0.0143058784354296
Rokubacteriales (o),Organic,4.144315686758991,0.0143058784354296
Luedemannella,Organic,3.2657860269000825,0.0127253532829108
Comamonadaceae (f),Organic,3.788216766659327,0.0143058784354296
Acidothermus,Chemical,5.049252425556153,0.0143058784354296
Anaeromyxobacter,Organic,3.601922366972558,0.027486336
bacteriap25 (c),Organic,3.728749715,0.027486336
Rubrobacter,Organic,3.929321779252732,0.0143058784354296
Sulfobacillaceae (f),Chemical,3.5322714854524677,0.010515246
Subgroup_10,Organic,3.4199410549134406,0.0268436297759696
S085 (o),Organic,3.7146462978560577,0.0143058784354296
Sphingomonas,Organic,3.874510464275025,0.027486336
Acetobacteraceae (f),Chemical,3.935431914422505,0.0143058784354296
Eremiobacteria (c),Chemical,3.800261347256772,0.0143058784354296
Agromyces,Organic,3.294653400411723,0.0127253532829108
Vicinamibacteraceae (f),Organic,3.220194314226543,0.0143058784354296
Occallatibacter,Chemical,3.806751528080744,0.0139029881643843
Solirubrobacterales (o),Organic,3.9175035182604288,0.0143058784354296
Marmoricola,Organic,3.6012335719521555,0.027486336
Alicyclobacillus,Chemical,4.223085473151637,0.007290358
Pyrinomonadaceae (f),Organic,3.939563531896224,0.0143058784354296
Thermoplasmata (c),Chemical,3.418630991098847,0.0127253532829108
Acidicaldus,Chemical,3.4066588739042465,0.010515246
FCPU426 (p),Chemical,3.517896377034487,0.049090116
Myxococcaceae (f),Organic,3.422029034948339,0.0143058784354296
Chujaibacter,Chemical,3.5568143959280145,0.0290490221619405
Actinomycetota (p),Organic,3.466535002939773,0.0249466432229086
Steroidobacteraceae (f),Organic,3.216866390127553,0.027486336
Ellin6067,Organic,3.4082743372750275,0.0143058784354296
Candidatus_Alysiosphaera,Organic,3.2804594507918496,0.049090116
Candidatus_Nitrosocosmicus,Organic,3.759021198702986,0.0143058784354296
Actinophytocola,Organic,3.407198041956168,0.0139029881643843
Terriglobales (o),Chemical,4.560047624939142,0.0143058784354296
Gaiellales (o),Organic,4.920455318,0.0143058784354296
Frankiales (o),Chemical,5.076800978,0.0143058784354296
